prk_place_nm,address
자성로140번길 제1노상,부산광역시 동구 범일동 825-3
독도주차장,부산광역시 동구 좌천동 722
동구공영주차빌딩,부산광역시 동구 초량동 1204-9
동구체육공원,부산광역시 동구 수정동 711-4
조방로16번길 제1노상,부산광역시 동구 범일동 830-9
자성로 제1노상,부산광역시 동구 범일동 829-1
가구거리,부산광역시 동구 범일동 183
구봉로 제1노상,부산광역시 동구 초량동 1118
수정공원상로 제1노상,부산광역시 동구 수정동 1178-43
중앙대로332번길 제3노상,부산광역시 동구 초량동 1150-1
좌천동 제1공영,부산광역시 동구 좌천동 808-12
좌천동 제2공영,부산광역시 동구 좌천동 952-2
중앙대로260번길 제1노상,부산광역시 동구 초량동 1168-13
조방로10번길 제1노상,부산광역시 동구 범일동 830-9
자성공원로 제1노상,부산광역시 동구 범일동 830-29
중앙대로236번길 제4노상,부산광역시 동구 초량동 1196-4
자유시장뒤,부산광역시 동구 범일동 830-24
중앙대로248번길 제3노상,부산광역시 동구 초량동 1188-1
성남로 제1노외,부산광역시 동구 좌천동 1119
중앙대로296번길 제1노상,부산광역시 동구 초량동 1159-9
수정산,부산광역시 동구 수정동 600-3
고관로 제2공영,부산광역시 동구 좌천동 68-595
고관로 제1공영,부산광역시 동구 좌천동 68-569
스카이웨이,부산광역시 동구 초량동 827-246
수정1동,부산광역시 동구 수정동 1043-60
수정2동,부산광역시 동구 수정동 771-210
수정2동 제2공영,부산광역시 동구 수정동 785-8
수정4동,부산광역시 동구 수정동 968-11
수정5동,부산광역시 동구 수정동 410
자성공원로 제2노상,부산광역시 동구 범일동 830-29
조방로10번길 제2노상,부산광역시 동구 범일동 830-31
중앙대로196번길 노상,부산광역시 동구 초량동 1203-2
성남로49번길 제1노상,부산광역시 동구 좌천동 68-1
행복예식장옆,부산광역시 동구 범일동 830-24
범일2동 제1노상,부산광역시 동구 범일동 830-9
범일로90번길 노상,부산광역시 동구 범일동 830-63
부산고등학교입구,부산광역시 동구 초량동 667-8
초량2동,부산광역시 동구 초량동 865
초량6동,부산광역시 동구 좌천동 689-94
조방로16번길 제2노상,부산광역시 동구 범일동 830-24
조방로34번길 제2노상,부산광역시 동구 범일동 830-24
부산진역,부산광역시 동구 좌천동 1164-2
초량2동 제2공영,부산광역시 동구 초량동 865-148
수정2동 제3공영,부산광역시 동구 수정동 822
차이나타운,부산광역시 동구 초량동 545-7
명장동공영주차장,부산광역시 동래구 명장동 538
동래시장공영주차장,부산광역시 동래구 복천동 241
성남로 제2노상,부산광역시 동구 좌천동 1116-1
청학초등학교,부산광역시 영도구 청학동 412-3
금강공원공영주차장,부산광역시 동래구 온천동 102-10
사적공원공영주차장,부산광역시 동래구 명륜동 146
유정아파트,부산광역시 영도구 봉래동5가 122-37
청학시장,부산광역시 영도구 청학동 307-19
청학하나,부산광역시 영도구 청학동 391-98
신선하나,부산광역시 영도구 신선동1가 196-5
신선동,부산광역시 영도구 신선동2가 136-1
봉래시장,부산광역시 영도구 봉래동3가 22-2
하수종말처리장옆,부산광역시 영도구 동삼동 201-59
75광장앞,부산광역시 영도구 동삼동 628-1
남항시장,부산광역시 영도구 남항동2가 267
해양로변,부산광역시 영도구 청학동 1-54
태종보세장치장옆,부산광역시 영도구 청학동 1-49
하늘전망대앞,부산광역시 영도구 동삼동 산149-4
봉래동물양장,부산광역시 영도구 봉래동1가 1
인제병원앞,부산광역시 영도구 봉래동1가 208-1
남항방파제,부산광역시 영도구 남항동3가 141-37
절영해안산책로앞,부산광역시 영도구 영선동4가 186-101
토토볼링장앞,부산광역시 영도구 대평동1가 162-1
선용품유통센터앞,부산광역시 영도구 남항동2가 273-1
신선스카이웨이,부산광역시 영도구 신선동2가 141-84
봉래산,부산광역시 영도구 청학동 483-1
영도중학교옆,부산광역시 영도구 동삼동 328-22
영도해녀문화전시관,부산광역시 영도구 동삼동 639-7
청학동로,부산광역시 영도구 청학동 120-8
청학스카이웨이,부산광역시 영도구 동삼동 328-22
해돋이마을,부산광역시 영도구 청학동 468-57
청학2동,부산광역시 영도구 청학동 99-229
하단동 유수지 공영주차장,부산광역시 사하구 하단동 1172
청학1동,부산광역시 영도구 청학동 418-5
장림대동맨션 앞 노상공영주차장,부산광역시 사하구 다대동 1595
통일아시아드공원 일원 노상공영,부산광역시 사하구 다대동 1595
대한제강 앞 복합 공영주차장,부산광역시 사하구 신평동 370-17
도시철도 신평역 앞 공영주차장,부산광역시 사하구 신평동 665
신평패션칼라 공영주차장,부산광역시 사하구 신평동 664
동성화학 앞 공영주차장,부산광역시 사하구 신평동 370-116
하단5일상설시장 공영주차장,부산광역시 사하구 하단동 621
장림2동 공영주차장,부산광역시 사하구 장림동 569-1
에코팩토리 존 노상공영주차장,부산광역시 사하구 신평동 664
장림포구,부산광역시 사하구 장림동 1092
장림 노외 공영주차장,부산광역시 사하구 장림동 328-4
을숙도 공영주차장,부산광역시 사하구 하단동 1149-5
감천2동 공영주차장,부산광역시 사하구 감천동 12
장림동 복합 공영주차장,부산광역시 사하구 장림동 1144-1
다대2동 공영주차장,부산광역시 사하구 다대동 1585
감내 공영주차장,부산광역시 사하구 감천동 16-485
몰운대 공영주차장,부산광역시 사하구 다대동 482-3
다대 중앙 공영주차장,부산광역시 사하구 다대동 1552-20
회화나무 공영주차장,부산광역시 사하구 괴정동 514-4
감천문화마을 공영주차장,부산광역시 사하구 감천동 17-46
신평골목시장 공영주차장,부산광역시 사하구 신평동 99-9
사릿골 공영주차장,부산광역시 사하구 괴정동 237-4
하단동 광장 공영주차장,부산광역시 사하구 하단동 1163
하단1동 공영주차장,부산광역시 사하구 하단동 53
장림골목시장 공영주차장,부산광역시 사하구 장림동 328-4
당리동 샛별공원 지하공영주차장,부산광역시 사하구 장림동 328-4
괴정3동 공영주차장,부산광역시 사하구 장림동 328-4
사하구청 앞 공영주차장,부산광역시 사하구 당리동 317-100
괴정천복개로(하단동) 공영주차장,부산광역시 사하구 하단동 870-6
신평장림산업단지 공영주차장,부산광역시 사하구 신평동 545-2
동주마루 공영주차장,부산광역시 사하구 괴정동 380-36
