prk_place_nm,address,monthly_pass_fee,prk_style
충무동제2공영,부산광역시 서구 토성동3가 32,0,공영
충무동제5공영,부산광역시 서구 토성동1가 8-1,0,공영
남부민1동제1공영,부산광역시 서구 남부민동 695-2,0,공영
남부민2동제2공영,부산광역시 서구 남부민동 692-2,0,공영
남부민2동제3공영,부산광역시 서구 남부민동 705,0,공영
암남동제1공영,부산광역시 서구 암남동 135-2,0,공영
,,,
한신문화타운맞은편,부산광역시 남구 용당동 565-26번지,40000,공영
유엔평화로 153번길,부산광역시 남구 용당동 552-16번지,40000,공영
해돋이공영,부산광역시 서구 남부민동 50-13,0,공영
부민동공영,부산광역시 서구 부민동3가 56,0,공영
부민동제2공영,부산광역시 서구 부민동3가 36-1,0,공영
남부민2동공영,부산광역시 서구 남부민동 595-2,0,공영
충무동골목시장공영,부산광역시 서구 충무동1가 37-1,0,공영
암남공원공영,부산광역시 서구 암남동 620-4,0,공영
천해로공영,부산광역시 서구 남부민동 434-227,0,공영
서구 원양로제2공영,부산광역시 서구 암남동 633-2,0,공영
시약로공영,부산광역시 서구 서대신동3가 92,0,공영
암남동제2공영,부산광역시 서구 암남동 135-8,0,공영
암남동제7공영,부산광역시 서구 암남동 537-4,0,공영
암남동제8공영,부산광역시 서구 암남동 614-5,0,공영
암남동제10공영,부산광역시 서구 암남동 95-13,0,공영
남부민2동제1공영,부산광역시 서구 남부민동 705,0,공영
동대1제4공영,부산광역시 서구 동대신동1가 9-48,0,공영
서대4제1공영,부산광역시 서구 서대신동3가 산2-6,0,공영
서대4제2공영,부산광역시 서구 서대신동3가 147-45,0,공영
서대4제3공영,부산광역시 서구 서대신동3가 7-5,0,공영
초장동제1공영,부산광역시 서구 초장동 128-28,0,공영
초장동제2공영,부산광역시 서구 초장동 89-87,0,공영
등대로공영,부산광역시 서구 암남동 123-37,0,공영
오반장주차장,부산광역시 해운대구 우동542-11,0,민영
온천주차장,부산광역시 해운대구 중동1226-3|14|15|1370-2|3|4,0,민영
왕자주차장,부산광역시 해운대구 반여동1405-37,0,민영
상월우동주차장,부산광역시 해운대구 우동437-3|439-1|440-3,50000,민영
우양주차장,부산광역시 해운대구 반송동683-18,0,민영
우일주차장,부산광역시 해운대구 우동442-1,0,민영
원도주차장,부산광역시 해운대구 송정동306-10,0,민영
유로주차장,부산광역시 해운대구 우동229-4,50000,민영
남천1동 공영주차장,부산광역시 수영구 남천동 554| 568 일원,0,공영
민락매립지 공영주차장,부산광역시 수영구 민락동 113-46| 50,160000,공영
광안리해수욕장 공영주차장,부산광역시 수영구 광안동 198-3,240000,공영
망미동노외공영주차장,부산광역시 수영구 망미동 979-73,52000,공영
민락수변공원 공영주차장,부산광역시 수영구 민락동 110-7,160000,공영
민락해변공원 공영주차장,부산광역시 수영구 민락동 181-78,0,공영
호암골 공영주차장,부산광역시 수영구 광안동 1146,52000,공영
구덕꽃마을공영,부산광역시 서구 서대신동3가 산 10-1,0,공영
아미까치공영,부산광역시 서구 아미동2가 249-1,0,공영
아미골공영,부산광역시 서구 아미동2가 212-8,0,공영
아미초등학교지하공영,부산광역시 서구 아미동2가 89,0,공영
조은주차빌딩주차장,부산광역시 해운대구 반여동1627-2,0,민영
조이박주차장,부산광역시 해운대구 재송동521-1,0,민영
주차장,부산광역시 해운대구 중동 276-1,0,민영
주차장,부산광역시 해운대구 중동1480-4,0,민영
중동주차장,부산광역시 해운대구 중동1139-4,0,민영
지에스타임즈스테이션센텀필주차장,부산광역시 해운대구 재송동1220,70000,민영
진영주차장,부산광역시 해운대구 반송동250-2296|2297,0,민영
청도주차장,부산광역시 해운대구 반송동250-1687,40000,민영
카카오T해운대파킹,부산광역시 해운대구 우동762-46,0,민영
코리아주차장,부산광역시 해운대구 중동204-4,0,민영
태성주차장,부산광역시 해운대구 반송동211-2,0,민영
